tmdb_person_id,name,biography,birthday,place_of_birth,profile_path,popularity
7501,Ronald Neame,"From Wikipedia, the free encyclopedia

Ronald Elwin Neame CBE, BSC (23 April 1911 – 16 June 2010) was an English film cinematographer, producer, screenwriter and director.

Description above from the Wikipedia article Ronald Neame, licensed under CC-BY-SA, full list of contributors on Wikipedia.",1911-04-23,"London, England, UK",/4BFCDD3GG5woHmxy6o7fny4NDYc.jpg,1.1338
190,Clint Eastwood,"Clinton ""Clint"" Eastwood Jr. (born May 31, 1930) is an American film actor, director, producer, composer, and former politician. Following his breakthrough role on the TV series ""Rawhide"" (1959–65), Eastwood starred as the Man with No Name in Sergio Leone's Dollars Trilogy of spaghetti westerns (""A Fistful of Dollars,"" ""For a Few Dollars More,"" and ""The Good, the Bad and the Ugly"") in the 1960s, and as San Francisco Police Department Inspector Harry Callahan in the Dirty Harry films (""Dirty Harry,"" ""Magnum Force,"" ""The Enforcer,"" ""Sudden Impact,"" and ""The Dead Pool"") during the 1970s and 1980s. These roles, along with several others in which he plays tough-talking no-nonsense police officers, have made him an enduring cultural icon of masculinity.

Eastwood won Academy Awards for Best Director and Producer of the Best Picture, as well as receiving nominations for Best Actor, for his work in the films ""Unforgiven"" (1992) and ""Million Dollar Baby"" (2004). These films in particular, as well as others including ""Play Misty for Me"" (1971), ""The Outlaw Josey Wales"" (1976), ""Pale Rider"" (1985), ""In the Line of Fire"" (1993), ""The Bridges of Madison County"" (1995), and ""Gran Torino"" (2008), have all received commercial success and/or critical acclaim. Eastwood's only comedies have been ""Every Which Way but Loose"" (1978) and its sequel ""Any Which Way You Can"" (1980); despite being widely panned by critics they are the two highest-grossing films of his career after adjusting for inflation.

Eastwood has directed most of his own star vehicles, but he has also directed films in which he did not appear such as ""Mystic River"" (2003) and ""Letters from Iwo Jima"" (2006), for which he received Academy Award nominations and ""Changeling"" (2008), which received Golden Globe Award nominations. He has received considerable critical praise in France in particular, including for several of his films which were panned in the United States, and was awarded two of France's highest honors: in 1994 he received the Ordre des Arts et des Lettres medal and in 2007 was awarded the Légion d'honneur medal. In 2000 he was awarded the Italian Venice Film Festival Golden Lion for lifetime achievement.

Since 1967 Eastwood has run his own production company, Malpaso, which has produced the vast majority of his films. He also served as the nonpartisan mayor of Carmel-by-the-Sea, California, from 1986 to 1988. Eastwood has seven children by five women, although he has only married twice. An audiophile, Eastwood is also associated with jazz and has composed and performed pieces in several films along with his eldest son, Kyle Eastwood.",1930-05-31,"San Francisco, California, USA",/8TwdCfeOZH7ucRlfLZ6wObxa7cO.jpg,7.6064
42309,Tibor Takács,"From Wikipedia, the free encyclopedia.  Tibor Takács (born September 11, 1954 in Budapest), is an Hungarian director, noted for directing The Gate (1987), and it's sequel, The Gate II: Trespassers. He was the recording engineer behind Toronto punk band The Viletones's recording sessions in the spring of 1977  and producer of the Cardboard Brains, ""White EP"" (1977) and the Cardboard Brains ""Black EP"" (1978). Cardboard Brains were also featured in the ""Last Pogo"" punk documentary by Colin Brunton.

Description above from the Wikipedia article Tibor Takács, licensed under CC-BY-SA, full list of contributors on Wikipedia.",1954-09-11,"Budapest, Hungary",/6W3KQ7vcNEs1hOFCkGq9TyeXLFo.jpg,0.5452
2303,Wim Wenders,"Ernst Wilhelm ""Wim"" Wenders (born 14 August 1945) is a German filmmaker and playwright, who is a major figure in New German Cinema. Among the honors he has received are prizes from the Cannes, Venice and Berlin film festivals. He has also received a BAFTA Award and been nominated for three Academy Awards and a Grammy Award.

Wenders made his feature film debut with Summer in the City (1970). He earned critical acclaim for directing the films Alice in the Cities (1974), The Wrong Move (1975), and Kings of the Road (1976), later known as the Road Movie trilogy. Wenders won the BAFTA Award for Best Direction and the Palme d'Or for Paris, Texas (1984) and the Cannes Film Festival Best Director Award for Wings of Desire (1987). His other notable films include The American Friend (1977), Faraway, So Close! (1993), and Perfect Days (2023).

Wenders has received three nominations for the Academy Award for Best Documentary Feature: for Buena Vista Social Club (1999), Pina (2011), and The Salt of the Earth (2014). He received a nomination for the Grammy Award for Best Long Form Music Video for Willie Nelson at the Teatro (1998). He is also known for directing the documentaries Tokyo-Ga (1985), The Soul of a Man (2003), and Pope Francis: A Man of His Word (2018).

Wenders has been the president of the European Film Academy since 1996 and won an Honorary Golden Bear in 2015. He is an active photographer, emphasizing images of desolate landscapes. He is considered an auteur director.

Description above from the Wikipedia article Wim Wenders, licensed under CC-BY-SA, full list of contributors on Wikipedia.",1945-08-14,"Düsseldorf, Germany",/AbqrYglSgaMfetQAeqdHaqiPSof.jpg,1.784
15347,Michael Giacchino,"Michael Giacchino (/dʒəˈkiːnoʊ/ jə-KEE-noh; Italian: [dʒakˈkiːno]; born October 10, 1967) is an American film, television, and video game score composer. He has received many accolades for his work, including an Academy Award for Up (2009), an Emmy for Lost (2004), and three Grammy Awards.

Giacchino is known for his collaborations with directors J. J. Abrams, Brad Bird, Matt Reeves, Pete Docter, Colin Trevorrow, Jon Watts, Gareth Edwards, Drew Goddard, J. A. Bayona, The Wachowskis, Taika Waititi, and Thomas Bezucha. His film scores include several films from the Mission: Impossible, Jurassic World, Marvel Cinematic Universe, Star Trek reboot series, eight Pixar Animation Studios films, multiple Disney films, Rogue One, The Batman, and several other films. He also composed the score for the video game series Medal of Honour and Call of Duty and the television series Alias, Lost, and Fringe.

In 2018, he ventured into directing and, in 2022, directed the Marvel Studios Disney+ special Werewolf by Night.

Description above from the Wikipedia article Michael Giacchino, licensed under CC-BY-SA, full list of contributors on Wikipedia.",1967-10-10,"Riverside, New Jersey, USA",/xgurVFMLVgtgz9f5bgrrCppm4xq.jpg,1.3466
101666,Paul King,"Paul Thomas King (born July 1978) is an English screenwriter and director. He works in television, film and theatre and specialises in comedy. He directed all 20 episodes of the surreal comedy series The Mighty Boosh (2004–2007), and in 2005 he earned a British Academy Television Award nomination for Best New Director.

His work on the family comedy films Paddington (2014) and its 2017 sequel earned him British Academy Film Award nominations for Best British Film and Best Adapted Screenplay. In 2023, he directed and co-wrote Wonka, a film which serves as a backstory to the literary character Willy Wonka and explores his early days as a chocolatier.

Description above from the Wikipedia article Paul King (director), licensed under CC-BY-SA, full list of contributors on Wikipedia.",1978-07-29,Unknown,/vteMQaGDpNHkKcuwT8yVQNeAohV.jpg,0.8947
529185,Aharon Keshales,"Aharon Keshales is an Israeli film director, screenwriter, and producer known for his work in the horror and thriller genres. He began his career as a film critic and lecturer before transitioning to filmmaking. Keshales co-directed Rabies (2010), Israel's first horror film, and Big Bad Wolves (2013), which received critical acclaim and was praised by director Quentin Tarantino as the best film of the year. His work is characterized by dark humor, suspenseful storytelling, and a unique approach to genre filmmaking.",1976-04-16,"Giaffa, Tel Aviv, Israele",,0.9494
6431,Darren Aronofsky,"Darren Aronofsky (born February 12, 1969) is an American filmmaker. His films are noted for their surreal, melodramatic, and often disturbing elements, frequently in the form of psychological fiction. Over his career, he has received a Primetime Emmy Award. He has been nominated for several awards including an Academy Award, a BAFTA Award, and a Golden Globe Award.

Aronofsky studied film and social anthropology at Harvard University before studying directing at the AFI Conservatory. After completing his senior thesis film, Supermarket Sweep, he won several film awards, becoming a National Student Academy Award finalist. In 1997, he founded the film and TV production company Protozoa Pictures. His feature film debut, the surrealist psychological thriller Pi (1998), earned him the Directing Award at the Sundance Film Festival and an Independent Spirit Award for Best First Screenplay.

Aronofsky then directed the psychological drama Requiem for a Dream (2000), the romantic fantasy sci-fi drama The Fountain (2006), and the sports drama The Wrestler (2008), the latter of which earned the Golden Lion at the Venice Film Festival. He directed the psychological drama Black Swan(2010), earning him the Best Director. His later films include the biblical epic Noah (2014), the psychological horror film Mother! (2017) and the drama The Whale (2022). Aronofsky's film Postcard from Earth (2023) was produced and filmed exclusively for the Sphere in the Las Vegas Valley on its 16K resolution screen.

Description above from the Wikipedia article Darren Aronofsky, licensed under CC-BY-SA, full list of contributors on Wikipedia.",1969-02-12,"Brooklyn, New York City, New York, USA",/tOjz8mVI2HeQBvU6KNjIExMBsXL.jpg,2.2613
64195,Joseph Zito,"Joseph Zito is an American film director. He is perhaps well known for directing many low budget action B-movies of the 1980s such as, Missing in Action, Invasion U.S.A., Red Scorpion, and many others. In the mid-1980s, Zito spent a year of pre-production on the Cannon version of Spider-Man. The film was never made.",1946-05-14,"New York, USA",/6A6l55ZlV9Ri8mZ9KTy19KZpdD9.jpg,1.5592
77357,Rupert Wyatt,"Rupert Wyatt (born 26 October 1972) is an English filmmaker. He made his directorial debut with the 2008 film The Escapist, which premiered at the Sundance Film Festival. His second film was the 2011 blockbuster Rise of the Planet of the Apes. His later directorial endeavors have included the 2014 crime drama The Gambler, the 2019 sci-fi film Captive State, and the first two episodes of the television adaptation of The Mosquito Coast in 2021. He also has served as an executive producer on the series.

Description above from the Wikipedia article about Rupert Wyatt, licensed under CC-BY-SA, full list of contributors on Wikipedia.",1972-10-26,"Exeter, UK",/m3KzS9wnfgAWD0ppIKQEQcTtM1S.jpg,0.639
51864,Kasi Lemmons,"Kasi Lemmons (/ˈkeɪsi/; born Karen Diane Lemmons, February 24, 1959) is an American film director, screenwriter, and actress. She made her directorial debut with Eve's Bayou (1997), followed by The Caveman's Valentine (2001), Talk to Me (2007), Black Nativity (2013), Harriet (2019), and Whitney Houston: I Wanna Dance with Somebody (2022). She also directed the Netflix limited series Self Made (2020) and an episode of ABC's Women of the Movement (2022).

She is also known as an actress, having started her career with roles in commercials with McDonald's and Levi's. She made her film debut in Spike Lee's School Daze (1988). She continued acting in Vampire's Kiss (1989), The Silence of the Lambs (1991), and Candyman (1992). Film scholar Wheeler Winston Dixon described her as ""an ongoing testament to the creative possibilities of film"".

Description above from the Wikipedia article Kasi Lemmons, licensed under CC-BY-SA, full list of contributors on Wikipedia.",1959-02-24,"St. Louis, Missouri, USA",/7iiZTyu8TnN242AS9m3LcrwVuzz.jpg,0.6127
7018,Richard Curtis,"Richard Whalley Anthony Curtis, CBE (born 8 November 1956) is New Zealand-born British screenwriter, music producer, actor and film director, known primarily for romantic comedy films such as Four Weddings and a Funeral, Bridget Jones's Diary, Notting Hill, and Love Actually, as well as the hit sitcoms Blackadder, Mr. Bean and The Vicar of Dibley. He is also the founder of the British charity Comic Relief.",1956-11-08,"Wellington, New Zealand",/dLhFfcHJvOLzzykO3LYkinXJUA1.jpg,1.9058
57777,Darin Scott,,1979-01-01,Unknown,/pSw8E0N7Nxfrds5S2G5wvf81F0i.jpg,0.6858
10702,Martin Campbell,"Martin Campbell (born October 24, 1943) is a New Zealand director. Campbell is credited with rejuvenating the James Bond franchise when he directed GoldenEye (1995), Pierce Brosnan's first outing as the famed British spy, and Daniel Craig's debut Bond feature, Casino Royale (2006).

Campbell moved to London where he began his career as a cameraman. He went on to produce the controversial British feature Scum (1979), as well as Black Joy (1977), which was selected for competition at the Cannes Film Festival. Campbell made his directorial debut on the British police action series The Professionals (1977) and continued with the popular BBC series Shoestring (1979) and Thames TV's Minder (1979)

Considered one of the U.K.'s top directors by the mid-'80s, he directed the highly praised British telefilm, Reilly: Ace of Spies (1983). For his work on Edge of Darkness (1985), a five-hour BBC miniseries about nuclear contamination in England that depicted murder and high-ranking corruption, he won six BAFTA awards.

Campbell's first Hollywood movie was Criminal Law (1998) and he went on to direct Defenseless (1991) and No Escape (1994). Some of his American credits include directing HBO's Cast a Deadly Spell (1991) and two episodes of NBC's Homicide: Life on the Street (1993), among others. He also directed the epic romance Beyond Borders (2003) starring Angelina Jolie and Clive Owen.",1943-10-24,"Hastings, New Zealand",/xAaNHXBrwTPDjZRs5vDD0fMO9bx.jpg,1.7848
55710,Adam McKay,"Adam McKay (born April 17, 1968) is an American screenwriter, producer, and director. McKay began his career as a head writer for the NBC sketch comedy show Saturday Night Live (SNL) from 1995 to 2001. After leaving SNL, McKay collaborated with comedian Will Ferrell on his comedy films Anchorman: The Legend of Ron Burgundy (2004), Talladega Nights: The Ballad of Ricky Bobby (2006), and The Other Guys (2010). Ferrell and McKay later co-wrote and co-produced numerous television series and films, with McKay himself co-producing their website, Funny or Die, through their company, Gary Sanchez Productions.

Aside from working with Ferrell, McKay wrote and directed the satirical films The Big Short (2015), Vice (2018), and Don't Look Up (2021). McKay won an Academy Award, a BAFTA, and a Critics' Choice Award for adapting the screenplay of The Big Short. In 2019, McKay founded Hyperobject Industries, a production company.

Description above from the Wikipedia article Adam McKay, licensed under CC-BY-SA, full list of contributors on Wikipedia.",1968-04-17,"Philadelphia, Pennsylvania, USA",/vOyZXNJq7Oo01LPtSD5AZHjctgH.jpg,1.5327
57521,Steve Beck,Steve Michael Beck is a former American commercial and film director.,,Unknown,/tP9EWRaqoUtzHZHKP9I8I7KPDPa.jpg,1.6771
75043,Peter Flinth,"From Wikipedia, the free encyclopedia.

Peter Flint (born 7 November 1964) is a Danish film director.

Description above from the Wikipedia article Peter Flint, licensed under CC-BY-SA, full list of contributors on Wikipedia.",1964-11-07,"København, Danmark",/947Hvd8uh5dTwhRk1wUpYkwQkrT.jpg,0.5786
12988,Paul Michael Glaser,"Paul Michael Glaser (born March 25, 1943) is an American actor and director, perhaps best known for his role as Detective David Starsky on the 1970s television series Starsky and Hutch; he also appeared as Captain Jack Steeper on the 1999 to 2005 NBC series Third Watch.

Description above from the Wikipedia article Paul Michael Glaser, licensed under CC-BY-SA, full list of contributors on Wikipedia",1943-03-25,"Cambridge, Massachusetts, USA",/6JIDF5x01dfnZUOLod5TEc0kYF2.jpg,1.6879
21371,Amy Holden Jones,"Amy Holden Jones is an American screenwriter and film director. She was born on September 17th, 1955.",1955-09-17,Unknown,/rPP8TdPAkhcEb5l4YGC7JNm6nbW.jpg,0.9128
204761,Steve Franks,,1965-09-21,Unknown,/vOD49lyPLx2JkjzERy5VmzK31uB.jpg,1.0602
12964,Michael Ritchie,"From Wikipedia, the free encyclopedia

Michael Brunswick Ritchie (November 28, 1938 - April 16, 2001) was an American film director.

Ritchie was born in Waukesha, Wisconsin, the son of Patricia (née Graney) and Benbow Ferguson Ritchie. His family later moved to Berkeley, California, where his father was a professor of experimental psychology at the University of California at Berkeley and his mother was the art and music librarian for the city.

He attended Berkeley High School before becoming interested in film, and was accepted at Harvard University following high school.

Ritchie attracted attention in his senior year at Harvard in 1960 by directing the original production of the Arthur Kopit play, Oh Dad, Poor Dad, Mamma's Hung You in the Closet and I'm Feelin' So Sad in Cambridge, Massachusetts.

His work on Kopit's play led to a job offer from Robert Saudek, the producer of the Omnibus television series. Ritchie also directed episodes of Profiles in Courage and such TV series as The Man From U.N.C.L.E., Dr. Kildare and Felony Squad prior to making his Hollywood feature-film debut in 1969 with Downhill Racer.

His sister, Elsie Ritchie, acted in two of his films (The Candidate and Smile).

In 1994, Ritchie purchased the hacienda-style house at 12305 Fifth Helena Drive, in the Brentwood district of Los Angeles, where Marilyn Monroe died in 1962. He bought it for $995,000.

In 1994, Ritchie moved to Manhattan with his wife, Jimmie B. Ritchie, and daughters, Lillian (b. 1986) and Miriam (b. 1988). His additional children include a son, Steven (b. 1973); daughters Lauren (b. 1966) and Jessica (b. 1973), and two stepchildren, Nelly Bly and Billy Bly.

Ritchie died at age 62 of complications from prostate cancer, on April 16, 2001, in New York.

Description above from the Wikipedia article Michael Ritchie (film director), licensed under CC-BY-SA, full list of contributors on Wikipedia.",1938-11-28,"Waukesha, Wisconsin, USA",/w2EXLsZNhTjZHi9E2nbYvLV05eO.jpg,0.8984
180868,Clay Borris,,,Unknown,,0.3111
101542,Ti West,"Timon C. West (born October 5, 1980) is an American film director, producer, screenwriter, editor, cinematographer, and actor, best known for his work in horror films. He directed the horror films The Roost (2005), Trigger Man (2007), The House of the Devil (2009), The Innkeepers (2011), the Western In a Valley of Violence (2016), as well as the X film series. He has also acted in a number of films, mostly in those directed by either himself or Joe Swanberg.

Description above from the Wikipedia article Ti West, licensed under CC-BY-SA, full list of contributors on Wikipedia.",1980-10-05,"Wilmington, Delaware, USA",/y65ZHU9m830lbdbggxC8eOT123S.jpg,1.2781
60243,Rob Schmidt,"​Robert Schmidt Barracano (born September 25, 1965) is an American film director and writer. His film credits include Wrong Turn and Crime and Punishment in Suburbia. He also created a pilot called American Town for Twentieth Century Fox. He directed a Masters of Horror episode called ""Right to Die."" His thriller The Alphabet Killer, which reunited him with Eliza Dushku (Wrong Turn), Martin Donovan (""Right to Die""), and Michael Ironside (Crime and Punishment in Suburbia), has been picked up for international distribution by New Films International.

He is married to photographer Zoë Barracano.",1965-09-25," Slippery Rock, Pennsylvania, USA",/cOZEh8p41XTs7ACSreS3UGWUGnR.jpg,0.511
253696,Len Talan,,,Unknown,,0.6289
51329,Bradley Cooper,"Bradley Charles Cooper (born January 5, 1975) is an American actor and filmmaker. He has received various accolades, including a British Academy Film Award and three Grammy Awards. In addition, he has been nominated for twelve Academy Awards, six Golden Globe Awards, and a Tony Award. Cooper appeared on the ForbesCelebrity 100 list three times and on Time's list of the 100 most influential people in the world in 2015. His films have grossed $13 billion worldwide, and he has been placed in annual rankings of the world's highest-paid actors four times.

Cooper began his television and film career in 1999 with a guest role in Sex and the City. In 2000, he enrolled in the Master of Fine Arts (MFA) program at the Actors Studio. Shortly after, he made his film debut with a starring role in the comedy Wet Hot American Summer (2001) and gained some recognition as Will Tippin in the television series Alias (2001–2006). After his role in the show was demoted, he began to have career doubts; however, he quickly gained additional recognition with a supporting part in the comedy film Wedding Crashers (2005). Cooper had his breakthrough in The Hangover (2009), a critically and commercially successful comedy that spawned sequels in 2011 and 2013. His career progressed by starring in Limitless (2011) and The Place Beyond the Pines (2012).

Cooper found greater success with the romantic comedy Silver Linings Playbook (2012), the black comedy American Hustle (2013), and the war biopic American Sniper (2014), which he also produced. In 2014, he portrayed Joseph Merrick in a Broadway revival of The Elephant Man. He began voicing Rocket in the Marvel Cinematic Universe. Cooper produced, wrote, directed, and starred in the musical romance A Star Is Born (2018). He won a BAFTA Award and two Grammys for his contributions to the film's U.S. Billboard 200 number-one soundtrack and its chart-topping lead single ""Shallow"". He has since produced the thrillers Joker (2019) and Nightmare Alley (2021) and co-wrote and directed the biographical drama Maestro (2023), in which he also starred as Leonard Bernstein.

Cooper was named People magazine's Sexiest Man Alive in 2011. He supports several charities that help fight cancer. Cooper was briefly married to actress Jennifer Esposito and has a daughter from his relationship with model Irina Shayk.",1975-01-05,"Philadelphia, Pennsylvania, USA",/sQq0nft6YZmJ7EMQwPcbaxym3AL.jpg,5.353
80978,Brian Goodman,"From Wikipedia, the free encyclopedia.

Brian Goodman is an American film and television director, writer, and actor.",1963-06-01,"Boston, Massachusetts, USA",/kvRS1QA7YuYhlFO3M8GbnOtvXts.jpg,0.879
933176,Damien Leone,"Damien Leone (born Jan 29, 1984) is an American writer-director and special makeup FX artist. He is best known as the creator of the Terrifier series of sadistic horror films featuring the killer Art the Clown.",1984-01-29,"Staten Island, New York City, New York, USA",/vVwl5t4gMqwivMfTjBJDLguViJ6.jpg,1.0124
64141,David Gordon Green,"David Gordon Green is an American filmmaker. He has directed dramas such as George Washington, All the Real Girls, and Snow Angels, as well as the thriller Undertow, all of which he wrote or co-wrote. In 2008, he transitioned into comedy, directing the films Pineapple Express, Your Highness, and The Sitter, as well as episodes of the HBO comedy Eastbound & Down. In 2013, he returned to his more dramatic roots with the independent films Prince Avalanche and Joe. Since then, he has directed the films Manglehorn, Our Brand Is Crisis, Stronger, and episodes of the television comedy-drama Red Oaks, on which he also serves as executive producer. He directed the eleventh, twelfth and thirteenth installments in the Halloween franchise, which he co-wrote with frequent collaborator Danny McBride.",1975-04-09,"Little Rock, Arkansas, USA",/iLNt8WmQmlVJHO5N5V7EmvXoXxQ.jpg,0.9352
123238,Brian Skiba,"Brian Skiba, named Arizona's Filmmaker of the Year and recognised as a ""prolific genre filmmaker"" by the LA Times (Noel Murray, April 2019), is a director, producer, and writer. A graduate with a B.A. in English from Arizona State University, Brian's passion for storytelling led him to co-write and direct Blood Moon Rising (2010), a horror comedy distributed by Entertainment One. The film achieved notable success within the zombie genre, prompting Brian to direct Dirty Little Trick (2011), a thriller starring Dean Cain and Michael Madsen, which premiered as a Showtime Original.

Since 2012, Brian has been a dynamic force in filmmaking, having produced, directed, and/or written twenty-two feature films, each premiering on prime-time TV or in theatres. In 2017, he directed the fast-paced female empowerment film Chokehold, followed by Rottentail, a Grindhouse horror comedy based on the graphic novel published by Source Point Press. The film earned sold-out screenings and widespread festival acclaim and was released in select theatres.

Brian's directorial work also includes My Adventures with Santa (2019), starring Barbara Eden, Denise Richards, and Patrick Muldoon, which Universal Studios theatrically released. The studio was so impressed with the film that they entrusted him to write and direct Christmas Castle (2020).

A passionate advocate for strong storytelling, Brian often cites Alfred Hitchcock's famous quote, ""To make a great film, you need three things—the script, the script, and the script,"" as a guiding principle in his career.",,Unknown,/bcxGMf0f11OP2lJfBtIQW0OwxIe.jpg,3.5041
42138,Victoria Mahoney,"Victoria Mahoney is an American actress and filmmaker. Her debut feature was 2011’s Yelling to the Sky.

Description above from the Wikipedia article Victoria Mahoney, licensed under CC-BY-SA, full list of contributors on Wikipedia.",,"New York, New York, USA",/5BNUlo3TeNmYrlAeu6zrYr9mbW1.jpg,0.5685
156379,Simon Cox,"Simon wrote and directed the spectacular indie sci-fi movie, Invasion Planet Earth, which on release was one of the top 20 films in the UK. He has over 30 years experience as an editor and director in the British film industry where he started as an editor in children’s TV.  Described as a ludicrously ambitious filmmaker by the UK’s Guardian Newspaper, his love of filmmaking started at 14 when his super 8mm film, Battle in Outer Space, featured on the BBC TV show, Screen Test. At 16, his second film, Circles of a World, was commended at the 9th Tokyo Film Festival. In 2005 the Horror Channel described him as one of the UK’s hottest up and coming directors when they screened his first feature film, Written in Blood.

He has directed and edited numerous short films, feature films, commercials, documentaries and corporate productions.",1965-07-29,Basingstoke - Hampshire - England,/uDozEdYg2JimMdgkVJtM9Jxzotz.jpg,0.3139
1141683,Theodore Melfi,"Theodore Melfi is an American filmmaker. In 2016, Melfi co-wrote, directed, and co-produced Hidden Figures, for which he received Oscar nominations for Best Picture and Best Adapted Screenplay. He is of Italian descent.

Description above from the Wikipedia article Theodore Melfi, licensed under CC-BY-SA, full list of contributors on Wikipedia.",1970-10-27,"Brooklyn, New York, USA",/hn2z28ofSNRxx4UTo6qOqzYCx0u.jpg,1.0986
36697,Gábor Csupó,"​From Wikipedia, the free encyclopedia

Gábor Csupó (born 29 September 1952) is a Hungarian-born animator and co-founder of the animation studio Klasky Csupo, which has produced shows like Rugrats, Duckman, and Aaahh!!! Real Monsters.

He was born in Budapest, Hungary, in 1952, and after four years at the Pannónia animation studios, emigrated to the West in 1975. While working in Sweden he met Arlene Klasky, an American-born animator. The two subsequently started their own company, Klasky Csupo, which produced many popular animated television shows. He was credited as ""animation executive producer"" and ""supervising animation director"" for several episodes of The Simpsons[4] in the early seasons before the show switched over to Film Roman.

His record label, Tone Casualties, founded in 1994, released several industrial, noise, ambient and experimental music releases, including discs by Holger Czukay, Drew Neumann, Paul Schütze, Kuroi Mori, Borut Kržišnik, Wahorn, Controlled Bleeding and his own works.

He also directed two live action films outside of Klasky Csupo: Bridge to Terabithia for Walt Disney Pictures, and The Secret of Moonacre for Warner Bros. and Lionsgate.

The character design of Dr. Nick Riviera (from The Simpsons) is based somewhat on Csupó. The animators mistakenly believed the character's voice actor, Hank Azaria, was impersonating Gábor, when in fact the voice was actually a bad imitation of Ricky Ricardo from I Love Lucy.

Description above from the Wikipedia article Gábor Csupó, licensed under CC-BY-SA, full list of contributors on Wikipedia.",1952-09-29,"Budapest, Hungary",/h78onamy0s7rDWtlbarRVGZqWF.jpg,4.1626
2087,Richard Fleischer,"From Wikipedia, the free encyclopedia.

Richard O. Fleischer (December 8, 1916 – March 25, 2006) was an American film director.

Fleischer was born in Brooklyn, the son of Essie (née Goldstein) and animator/producer Max Fleischer. After graduating from Brown University, he went to Yale School of Drama, where he met his future wife, Mary Dickson.

His film career began in 1942 at the RKO studio, directing shorts, documentaries, and compilations of forgotten silent features.

Fleischer moved to Los Angeles and was assigned his first feature, Child of Divorce (1946).  In 1954, he was chosen by Walt Disney (his father's former rival as a cartoon producer) to direct 20,000 Leagues Under the Sea starring Kirk Douglas.  In 1955 Fox signed Fleischer to a long term contract. He would work for that studio for the next fifteen years. His first film under his new contract with Fox was The Girl in the Red Velvet Swing (1955). Kirk Douglas hired Fleischer to make The Vikings (1958), which was another big hit.  He then moved to Paris where he directed two stories for Darryl F. Zanuck starring Greco. Fleischer then signed a contract with Dino de Laurentiis to make Barabbas (1962).  Back in Hollywood, Richard Zanuck had become head of production at Fox and offered Fleischer Fantastic Voyage (1966). It was a success and resurrected his Hollywood career.  Che! (1969), a biopic of Che Guevera that starred Omar Sharif, was an expensive flop, as was an account of the attack on Pearl Harbor, Tora! Tora! Tora! (1970). This was his last film for 20th Century Fox.

Fleischer travelled to England, where he directed an acclaimed thriller, 10 Rillington Place. See No Evil (1971) with Mia Farrow was another thriller. In Hollywood, he made The New Centurions (1972). At MGM, he made a science-fiction film, Soylent Green (1973), with Charlton Heston.

He was reunited with De Laurentiis for the popular, if controversial, Mandingo (1975).  The Prince and the Pauper (1977) was a version of the Mark Twain novel that featured Heston, Harrison and Scott in its cast. Fleischer was then hired on Ashanti (1979), starring Michael Caine, which turned out to be a flop.  Tough Enough (1983) was about the Toughman Contest starring Dennis Quaid. He made three more for de Laurentiis. His final theatrical feature was Million Dollar Mystery (1987).

Fleischer was chairman of Fleischer Studios, which today handles the licensing of Betty Boop and Koko the Clown. In June 2005, he released his memoirs of his father's career in Out of the Inkwell: Max Fleischer and the Animation Revolution.

Fleischer's 1993 autobiography, Just Tell Me When to Cry, described his many difficulties with actors, writers and producers.

Description above from the Wikipedia article Richard O. Fleischer, licensed under CC-BY-SA, full list of contributors on Wikipedia.",1916-12-08,"Brooklyn, New York City, New York, USA",/vAPv1aa28u12zcq8YMvuwZu1hhC.jpg,1.2957
16544,Ted Kotcheff,"From Wikipedia, the free encyclopedia.

Ted Kotcheff (April 7, 1931 – April 10, 2025), sometimes credited as William Kotcheff or William T. Kotcheff, was a Canadian film and television director, who is well known for his work on several high-profile British television productions and as a director of films such as First Blood.

Description above from the Wikipedia article Ted Kotcheff, licensed under CC-BY-SA, full list of contributors on Wikipedia.",1931-04-07,"Toronto, Ontario, Canada",/kbayJIuimvJJUvMBgKWZz3KGjPa.jpg,1.7976
